flight_number,departure_airport,arrival_airport,departure_time,arrival_time
QR7445,Djibouti-Ambouli Airport,Buluh Tumbang (H A S Hanandjoeddin) Airport,4:25 PM,5:45 PM
TG6754,Bitburg Airport,Hpa-N Airport,7:15 PM,10:40 PM
LH7175,Douglas Lake Airport,Varkaus Airport,3:15 AM,1:48 PM
SA2695,Hood Army Air Field,Udine-Campoformido Air Base,3:36 PM,4:51 AM
AI1813,Plan De Guadalupe International Airport,Kinkungwa Airport,4:47 AM,9:59 PM
AF8339,Haelogo Airport,San Gabriel Valley Airport,6:30 PM,5:50 AM
SQ3533,Sugimanuru Airport,Cut Bank International Airport,10:44 PM,12:39 AM
BA7019,Yinchuan Hedong International Airport,Hubli Airport,2:37 AM,8:58 PM
SA5569,Lightning Ridge Airport,Z M Jack Stell Field,8:39 AM,9:39 PM
SK8444,Uzhhorod International Airport,Sanford Seacoast Regional Airport,12:30 PM,9:42 PM
AV3966,Iloilo International Airport,Ignace Municipal Airport,5:51 PM,11:24 AM
AA1753,Wharton Regional Airport,Sierra Vista Municipal Libby Army Air Field,7:44 PM,4:41 PM
TG6258,Sambu Airport,Ardmore Airport,10:44 PM,6:48 AM
IB2973,Squamish Airport,Dong Tac Airport,12:47 AM,7:18 PM
WN3613,Nea Anchialos Airport,Musoma Airport,11:10 PM,4:07 PM
DL6343,Biskra Airport,Zhangjiakou Ningyuan Airport,9:23 PM,3:29 PM
AF5186,Samuels Field,Kalamazoo Battle Creek International Airport,9:51 AM,7:18 AM
AV9936,Kamarang Airport,Le Mans-Arnage Airport,6:26 PM,4:03 AM
SQ5580,Mammoth Yosemite Airport,Votuporanga Airport,6:50 PM,3:59 AM
ET5950,St Louis Downtown Airport,Param Airport,4:10 AM,1:00 PM
SK5287,Kurwina Airport,Tbilisi International Airport,9:20 AM,5:27 AM
AA8464,Agartala Airport,Charlotte Amalie Harbor Seaplane Base,8:57 PM,8:24 AM
SK2568,Begishevo Airport,Lamen Bay Airport,3:47 AM,1:09 AM
IB3208,Mendi Airport,Rae Lakes Airport,7:05 AM,6:11 AM
SK4312,Bizant Airport,Talasea Airport,9:13 PM,6:26 PM
NZ1242,Santana do Araguaia Airport,Thorshofn Airport,10:12 PM,5:51 AM
KL7081,Coondewanna Airport,Longreach Airport,5:04 AM,8:12 AM
AV2432,Kavalerovo Airport,Reyes Murillo Airport,6:28 AM,9:32 PM
LH1675,Hoy/Longhope Airfield,Fairbury Municipal Airport,3:56 AM,4:09 AM
AZ6189,Philip Billard Municipal Airport,Cape Eleuthera Airport,11:42 PM,6:18 AM
AZ9034,Álamos Airport,Townsville Airport,8:04 AM,6:58 PM
AA5427,Pike County-Hatcher Field,Cue Airport,3:50 AM,10:45 PM
SK4848,Alluitsup Paa Heliport,Forest City Municipal Airport,9:46 AM,1:10 AM
LA8052,Camfield Airport,Faya Largeau Airport,1:46 AM,5:00 PM
LH4515,El Naranjo Airport,Cutral-Co Airport,4:55 PM,9:17 AM
LH8277,Shahid Ashrafi Esfahani Airport,Tabibuga Airport,1:10 PM,1:52 AM
AZ2658,Bakkafjörður Airport,Qinhuangdao Beidaihe Airport,8:26 PM,9:47 AM
AM9145,Parachinar Airport,Sawan Airport,1:35 PM,8:11 PM
SQ3260,Santa Maria Pub/Capt G Allan Hancock Field,Gatokae Airport,4:12 AM,1:50 PM
SK5816,Yancheng Airport,Iwakuni Marine Corps Air Station,5:22 AM,2:54 PM
CX2045,Marudi Airport,Simón Bolívar International Airport,4:45 AM,6:11 PM
CX1065,Isla de Tigre  Heliport,Yulin Yuyang Airport,3:48 PM,1:02 AM
QF1621,Changde Airport,General Ignacio P. Garcia International Airport,8:22 PM,12:54 PM
DL3161,Almería International Airport,Gifu Airport,12:08 AM,4:18 PM
WN7250,Gabbs Airport,Dr. Arturo H. Illia Airport,10:13 AM,5:19 PM
NH6679,Arrabury Airport,Pukarua Airport,9:31 PM,12:27 AM
KL4500,Meekatharra Airport,Bird Island Airport,7:12 PM,12:16 PM
LH7027,Sanikiluaq Airport,Renmark Airport,12:38 AM,7:27 AM
WN2403,Massena International Richards Field,Borgarfjörður eystri Airport,3:26 PM,6:01 AM
QF4855,Aktau Airport,Huangyan Luqiao Airport,3:32 AM,6:46 AM
ET7435,Yorke Island Airport,Rafha Domestic Airport,7:58 AM,12:30 PM
SQ2197,Bournemouth Airport,Amahai Airport,11:49 PM,10:18 PM
IB2768,Glenwood Springs Municipal Airport,Maku National Airport,12:37 AM,4:01 PM
LA4064,Takotna Airport,Vieques Airport,2:24 AM,2:39 PM
AA9225,Basco Airport,Kerch Airport,5:41 PM,7:12 PM
KL5908,Niamtougou International Airport,Lankaran International Airport,5:45 PM,6:42 AM
QF6795,Dundo Airport,Scribner State Airport,3:36 PM,5:03 PM
BA8817,Roi Et Airport,Jinchuan Airport,11:17 AM,2:48 AM
BA1624,Tengchong Tuofeng Airport,Badu Island Airport,12:23 AM,2:48 AM
BA6099,Wuzhou Changzhoudao Airport,Benton Field,2:09 PM,12:04 AM
KL2077,Torsby Airport,New Tanegashima Airport,5:57 AM,12:28 PM
AV7890,Vichy-Charmeil Airport,Sion Airport,3:28 AM,2:23 AM
AM1973,Mahenye Airport,Greenville Downtown Airport,3:57 AM,8:45 AM
NH8235,Pontoise - Cormeilles-en-Vexin Airport,Balmaceda Airport,8:18 PM,7:34 PM
KL6135,Gunung Batin Airport,Leeward Point Field,7:29 PM,1:29 AM
KL7090,Kahului Airport,Meekatharra Airport,3:35 AM,11:07 AM
WN3151,Sabha Airport,Ammaroo Airport,4:44 AM,9:33 PM
AI5502,Foumban Nkounja Airport,Bolovip Airstrip,12:52 PM,7:04 AM
SQ2732,Okeechobee County Airport,Cherrabun Airport,3:22 AM,11:05 PM
EK9440,La Chorrera Airport,Mulia Airport,3:31 PM,9:18 AM
UA7982,Sterling Municipal Airport,Piloto Osvaldo Marques Dias Airport,9:45 PM,6:24 PM
UA5518,Unguia Airport,Tahoua Airport,2:30 PM,12:24 PM
AA5427,Mui River Airport,Betou Airport,1:03 AM,10:38 AM
KL3616,Sabha Airport,Junin Airport,4:52 AM,10:01 PM
LA9660,Copenhagen Roskilde Airport,Nosara Airport,5:04 PM,4:38 PM
AF7132,Kagi Airport,Kisengam Airport,7:50 PM,6:05 AM
KE6581,Wyndham Airport,Alexander the Great International Airport,7:57 PM,11:19 PM
AC9578,Ikela Airport,Westray Airport,12:26 AM,9:44 AM
KE4188,Houlton International Airport,Coronel FAP Francisco Secada Vignetta International Airport,12:01 AM,9:10 AM
UA1667,Cacoal Airport,Zhukovsky International Airport,9:16 AM,12:29 PM
SQ2544,University of Oklahoma Westheimer Airport,Chester County G O Carlson Airport,6:09 AM,11:56 AM
NZ3217,Paros National Airport,Ampara Airport,3:43 AM,10:09 PM
DL4237,Touho Airport,Baoshan Yunduan Airport,5:12 AM,9:21 AM
NZ3584,Austin Airport,Whyalla Airport,8:15 AM,2:37 AM
LH6305,Gjögur Airport,Lae Island Airport,3:06 AM,1:41 PM
TG6062,Almaty Airport,Kiruna Airport,10:16 AM,5:38 AM
EK2243,Katsina Airport,Orán Airport,6:06 PM,5:35 AM
AV6858,Svetlaya Airport,John A. Osborne Airport,7:08 AM,10:26 PM
IB7358,Powell Municipal Airport,Tobago-Crown Point Airport,6:45 AM,12:59 AM
SQ5275,Dillingham Airfield,Maku National Airport,1:45 PM,3:53 PM
NH2702,White Mountain Airport,Belluno Airport,10:41 PM,3:08 PM
BA3052,Sharjah International Airport,Trepell Airport,10:40 PM,7:10 PM
QF9225,Altus Air Force Base,Chinchilla Airport,5:27 AM,9:11 AM
NZ7265,Chester County G O Carlson Airport,Tabora Airport,5:57 PM,11:14 PM
SQ3948,Nouakchott–Oumtounsy International Airport,Conakry International Airport,5:00 PM,6:03 PM
SQ7786,Roxas Airport,Bangui M'Poko International Airport,8:23 PM,8:34 PM
SQ1094,Dane County Regional Truax Field,Brive Souillac Airport,7:24 PM,5:48 PM
QF2974,Lac Brochet Airport,Teminabuan Airport,11:09 AM,11:12 AM
AZ5112,Baotou Airport,Ponta Pelada Airport,12:57 PM,5:50 PM
BA3483,Lusambo Airport,Niamtougou International Airport,5:14 AM,10:23 PM
DL7850,Newton Municipal Airport,Clorinda Airport,6:38 AM,1:51 PM
BA5939,Gayndah Airport,West Wyalong Airport,8:40 AM,7:06 PM
UA5184,Tsushima Airport,Yoshkar-Ola Airport,4:49 AM,3:34 AM
WN4007,Ingjaldssanður Airport,Agen-La Garenne Airport,3:24 PM,9:02 AM
WN5297,Dodoima Airport,Zafer Airport,1:59 AM,2:25 AM
NH6772,Trona Airport,Camiguin Airport,4:32 PM,4:18 AM
CX3392,Benguera Island Airport,Faleolo International Airport,5:29 AM,7:56 PM
WN7709,Waynesville-St. Robert Regional Forney field,Winkler County Airport,2:04 PM,5:44 PM
LH2767,Barking Sands Airport,Uşak Airport,2:09 PM,6:03 PM
AZ8963,Nara Airport,Cuito Cuanavale Airport,2:35 AM,9:54 AM
KL6164,M'Boki Airport,Tweed New Haven Airport,10:31 PM,4:26 PM
AF9614,Masirah Air Base,Dawson Community Airport,9:43 AM,10:45 PM
SK1308,EL Real Airport,General Mitchell International Airport,3:51 AM,2:29 PM
DL4343,Moroak Airport,Anglesey Airport,11:42 PM,5:04 PM
AZ1200,Tallahassee Regional Airport,Samangoky Airport,12:57 AM,4:06 PM
SQ1526,Nuremberg Airport,Valcheta Airport,4:11 PM,4:44 PM
UA5070,Anyang Airport,Jordan Airport,12:32 PM,11:08 PM
AZ5777,Munbil Airport,Milyakburra Airport,12:00 PM,5:36 AM
UA1324,Taylor Airport,Lahad Datu Airport,8:21 AM,7:11 AM
AI3634,Limpopo Valley Airport,Mount Pleasant Airport,11:40 PM,1:27 PM
LH6965,Mehamn Airport,Kagoshima Airport,6:35 AM,10:16 AM
NH9219,York Landing Airport,Livermore Municipal Airport,5:31 AM,10:01 AM
KL3966,Vangaindrano Airport,Redzikowo Air Base,3:35 AM,5:17 PM
UA5293,Lindeman Island Airport,Bilaspur Airport,3:08 PM,3:26 PM
NZ8723,Maleo Airport,Urubupunga Airport,6:38 PM,3:21 PM
AA2638,"Rørvik Airport, Ryum",Gordon Municipal Airport,9:14 PM,6:29 PM
SQ5181,Wick Airport,Gulgubip Airport,7:11 AM,9:26 PM
EK5040,Columbus Lowndes County Airport,Inus Airport,3:15 PM,6:12 PM
DL1233,West Memphis Municipal Airport,Kangaatsiaq Heliport,5:22 AM,8:01 PM
AC2870,Chignik Lake Airport,San Bernardino International Airport,11:46 PM,5:52 AM
DL4237,Yorketown Airport,Malvinas Argentinas Airport,4:20 AM,8:35 AM
AI8875,El Gora Airport,Maryborough Airport,8:49 AM,3:02 PM
TG3327,Earl Henry Airport,Dazu Air Base,5:35 AM,9:38 PM
AV1217,Matamata Glider Airport,Napperby Airport,9:47 PM,3:24 AM
AC5615,Governador Jorge Teixeira de Oliveira Airport,Kulik Lake Airport,4:05 AM,12:22 PM
AI4924,Entrance Island Seaplane Base,Seal Bay Seaplane Base,8:37 AM,3:28 PM
AI7555,Nappa Merrie Airport,Laughlin Bullhead International Airport,6:28 AM,6:35 PM
AA7995,Johan Pienaar Airport,Langtang Airport,7:05 AM,1:35 AM
KL4223,Heidelberg Army Helicopter Base,Lidköping-Hovby Airport,10:43 AM,4:49 PM
WN9690,Hudson Bay Airport,Kufra Airport,4:02 PM,10:19 PM
NZ1420,Lubbock Preston Smith International Airport,Lecce Galatina Air Base,11:28 PM,9:00 AM
ET8668,Kanabea Airport,Ndolo Airport,1:43 PM,1:20 AM
WN2925,Óbidos Airport,Corazón de Jesús Airport,1:35 AM,8:22 AM
UA9501,Fuerteventura Airport,Berezovo Airport,9:55 AM,2:47 AM
NH2702,Teuku Cut Ali Airport,Castellón-Costa Azahar Airport,4:16 PM,8:01 AM
ET9810,Hpa-N Airport,Stenkol Airport,2:51 PM,1:25 AM
AA5573,RAF Odiham,Camiri Airport,4:07 PM,10:03 PM
AM2848,Kupiano Airport,Olga Bay Seaplane Base,3:18 PM,6:57 PM
KL6764,Dambulu Oya Tank Seaplane Base,Jim Hamilton L.B. Owens Airport,10:06 PM,9:40 PM
AA1824,Digby / Annapolis Regional Airport,Wales Airport,2:29 PM,5:45 PM
EK6770,Sarandi Airport,Chico Municipal Airport,5:38 PM,2:23 AM
AA1405,Naoro Airport,Wudinna Airport,8:05 AM,10:36 AM
UA3441,Hermanos Serdán International Airport,Jerez Airport,4:09 AM,2:19 PM
CX1515,Paruma Airport,Cherrabun Airport,2:16 PM,8:16 PM
DL2266,Rankin Inlet Airport,Zona da Mata Regional Airport,4:18 PM,5:20 PM
NZ5489,Tiko Airport,Fresno Yosemite International Airport,9:30 PM,10:46 PM
NZ6242,Marina Municipal Airport,Telefomin Airport,3:05 PM,4:23 AM
TG4168,El Tari Airport,Aragip Airport,4:42 PM,5:31 AM
UA5293,Diapaga Airport,Batagay Airport,6:21 AM,8:34 PM
QF4801,Fagali'i Airport,Coffman Cove Seaplane Base,3:45 PM,5:46 AM
IB8002,St Marys Municipal Airport,Ishurdi Airport,8:09 AM,6:58 PM
CX3529,Pellston Regional Airport of Emmet County Airport,Qacha's Nek Airport,4:26 PM,3:44 AM
KE9760,Danilo Atienza Air Base,Aldan Airport,7:33 AM,4:19 PM
IB8449,Nampula Airport,Curuzu Cuatia Airport,11:53 PM,9:13 PM
SA9625,Okhotsk Airport,Fresno Yosemite International Airport,12:02 AM,11:59 AM
AV5015,Palm Springs International Airport,Nushki Airport,10:20 PM,4:44 PM
IB5640,Safford Regional Airport,Tilin Airport,2:14 PM,9:26 PM
UA9501,Maimun Saleh Airport,Rif Airport,9:34 PM,8:03 AM
BA7617,Ulan-Ude Airport (Mukhino),Gorna Oryahovitsa Airport,9:10 AM,12:22 AM
ET9601,Jipijapa Airport,Atlantic Municipal Airport,8:29 AM,9:28 AM
EK1409,Lekoni Airport,Al Asad Air Base,3:41 PM,1:06 AM
QF7248,Stony Rapids Airport,North Perry Airport,6:02 PM,8:41 PM
QR9862,RAF Cottesmore,Cataratas International Airport,7:47 AM,8:56 PM
QF9447,Dillingham Airport,Vorkuta Airport,12:16 AM,4:09 AM
DL3149,Assab International Airport,Chengde Puning Airport,3:43 AM,7:21 PM
AM4189,Charles B. Wheeler Downtown Airport,Teuku Cut Ali Airport,11:10 AM,9:54 AM
KE3468,Salt Lake City International Airport,Norfolk Island International Airport,5:07 AM,3:48 PM
AM9801,Lista Airport,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",8:56 PM,10:52 AM
AC6500,Forbes Airport,Wadi Ain Airport,10:16 PM,4:30 AM
AI3081,Jabalpur Airport,Las Malvinas/Echarate Airport,8:50 AM,6:23 AM
SK2512,Valencia Airport,Trujillo Airport,8:35 AM,4:29 PM
AC7189,Tadjoura Airport,Calvi-Sainte-Catherine Airport,7:22 AM,9:10 AM
AA6712,Pevek Airport,Viru Harbour Airstrip,6:11 AM,4:44 AM
NZ2060,Rar Gwamar Airport,Southern Illinois Airport,9:13 PM,10:22 AM
AA5127,Khwai River Lodge Airport,North Eleuthera Airport,7:04 AM,6:27 PM
SK9048,Kaben Airport,Independence Airport,9:21 AM,1:26 PM
IB3890,El Trompillo Airport,Mandera Airport,11:16 AM,11:52 PM
AI9645,Bo Airport,Alice Arm/Silver City Seaplane Base,7:02 AM,9:42 AM
SQ6766,Dios Airport,Gora Airstrip,7:16 AM,11:27 PM
AM9767,Bancasi Airport,Joensuu Airport,2:52 PM,3:41 PM
LH2132,Rendani Airport,Tchongorove Airport,2:30 AM,12:28 AM
BA1635,Ascona Airport,McArthur River Mine Airport,1:44 PM,10:16 AM
QR7315,Bakalalan Airport,Minna Airport,3:53 PM,3:21 AM
TG6514,Silgadi Doti Airport,Petropavlosk South Airport,11:03 PM,5:51 AM
SA7221,Smith Point Airport,Willows Glenn County Airport,9:31 AM,7:43 AM
KE5043,Brest Airport,Innisfail Airport,5:48 AM,6:46 AM
WN4924,Bawan Airport,Yongai Airport,7:07 AM,5:14 AM
EK9530,Lady Elliot Island Airstrip,Yokangassi Airport,8:06 PM,10:17 AM
EK1142,Jinchuan Airport,Ailinglaplap Airok Airport,2:36 AM,7:27 AM
UA6879,King Abdulaziz International Airport,La Sarre Airport,10:46 AM,5:16 AM
IB9562,Lewiston Nez Perce County Airport,Eunice Airport,6:25 AM,11:07 PM
SQ4809,Arorae Island Airport,Koyukuk Airport,8:34 AM,7:47 PM
NZ5671,Abu Simbel Airport,Sanga Sanga Airport,7:29 PM,6:26 PM
AI6362,Nanga Pinoh Airport,Reginaldo Hammer Airport,10:11 AM,3:49 AM
QF2199,Kadena Air Base,Queen Beatrix International Airport,11:36 AM,12:02 PM
AZ3752,Cesar Lim Rodriguez Airport,Jérémie Airport,3:53 AM,5:36 AM
LH4911,Loei Airport,Antonio Narino Airport,7:05 PM,7:20 PM
SK5197,San Luis County Regional Airport,Yalinga Airport,11:54 AM,8:03 PM
LH5030,Arkansas International Airport,Qualicum Beach Airport,6:54 AM,7:06 AM
SA8119,Charlevoix Airport,Nantes Atlantique Airport,4:23 AM,5:32 PM
UA2884,Fuyun Koktokay Airport,Lizard Island Airport,10:27 AM,8:05 AM
IB5906,Gävle Sandviken Airport,Erenhot Saiwusu International Airport,7:09 PM,9:19 PM
AV3127,Rota International Airport,L M Clayton Airport,2:46 AM,3:54 AM
SQ6228,Novgorod Airport,Elfin Cove Seaplane Base,12:48 PM,2:34 AM
AZ4564,Mocímboa da Praia Airport,Mattala Rajapaksa International Airport,3:41 PM,7:00 AM
EK5372,Dadu Airport,Hof-Plauen Airport,12:50 PM,11:22 PM
KL4871,Yakubu Gowon Airport,Yangyang International Airport,12:34 AM,7:33 AM
SK2755,Arlit Airport,Baidoa Airport,10:47 AM,11:16 PM
NH5355,Sihanoukville International Airport,Francisco Vilela do Amaral Airport,3:38 PM,12:04 PM
AF4644,Deadman's Cay Airport,Crookston Municipal Kirkwood Field,4:42 AM,3:12 PM
IB6654,Gombe Lawanti International Airport,Ust-Kamennogorsk Airport,12:00 PM,6:36 AM
NZ8978,Tabas Airport,Lyons-Rice County Municipal Airport,1:13 PM,9:40 PM
AF5759,Charles M. Schulz Sonoma County Airport,Bensbach Airport,10:18 PM,7:45 PM
TG3165,Klokovo Airfield,Napakiak Airport,8:20 PM,5:09 AM
AA7570,Kasane Airport,Galcaio Airport,2:09 AM,2:39 AM
BA5574,Flamingo International Airport,Modibo Keita International Airport,4:54 AM,4:56 PM
NH1353,Heraklion International Nikos Kazantzakis Airport,Foya Airport,8:33 AM,7:10 PM
TG6855,Ely Municipal Airport,Masalembo Airport,1:47 PM,1:10 PM
AV3765,Tokat Airport,Allen C Perkinson Blackstone Army Air Field,11:08 AM,6:18 AM
SK6941,Macomb Municipal Airport,Mouyondzi Airport,3:08 PM,4:16 PM
AZ5224,Yulin Yuyang Airport,Big Lake Airport,11:54 AM,2:38 AM
AI2223,Redding Municipal Airport,San Andros Airport,6:19 PM,10:24 AM
CX3985,Chinguetti Airport,Mount Keith Airport,8:02 PM,2:06 PM
AI2111,Point Baker Seaplane Base,Beletwene Airport,12:53 PM,10:37 PM
ET5945,Carlos Rovirosa Pérez International Airport,Bella Coola Airport,12:09 PM,6:09 PM
AZ2524,Faaite Airport,Carmelita Airport,1:12 AM,1:25 PM
AF8227,Tonghua Sanyuanpu Airport,Chokurdakh Airport,6:26 PM,7:43 PM
AI4546,Dadu Airport,Tarama Airport,8:18 PM,1:15 PM
KE7908,Vadodara Airport,Zamperini Field,5:42 AM,2:34 AM
AV8325,Fredericton Airport,Okhotsk Airport,8:02 AM,9:54 PM
KL2216,Kontum Airport,Lai Airport,9:00 PM,3:54 AM
DL1459,Mission Field,Lowcountry Regional Airport,12:56 PM,12:10 AM
AC4413,Quelimane Airport,Qaqortoq Heliport,7:38 AM,8:58 PM
WN7987,Tisdale Airport,Chos Malal Airport,9:31 PM,7:00 PM
EK9217,Santa Cruz Air Force Base,Aguaclara Airport,3:44 PM,10:39 PM
SK9521,Sambava Airport,General Francisco Bermúdez Airport,1:58 PM,4:09 PM
LH3949,Sheghnan Airport,Melbourne International Airport,12:25 AM,10:00 PM
LH7638,Napa County Airport,Whyalla Airport,12:04 AM,8:29 PM
QF1061,Umuarama Airport,Moree Airport,3:13 PM,5:35 AM
SK2386,Paradise River Airport,Steamboat Bay Seaplane Base,10:35 AM,12:43 PM
IB3773,Scone Airport,Vero Beach Regional Airport,4:00 AM,7:15 AM
TG2367,Yaoundé Airport,Mitchell Plateau Airport,4:35 AM,11:54 PM
TG6220,San José Airport,Porto Seguro Airport,4:22 AM,6:24 PM
QR3022,"Wahai,Seram Island",Habi Airport,3:01 AM,5:56 PM
BA5173,General Roberto Fierro Villalobos International Airport,Lampedusa Airport,7:55 PM,8:36 PM
AF5181,Les Sables-d'Olonne Talmont Airport,Kangerlussuaq Airport,9:23 PM,7:37 AM
AF4678,Alice Springs Airport,Videira Airport,5:57 PM,8:03 AM
SA5534,Jumandy Airport,Al Dhafra Air Base,6:00 AM,10:37 AM
LH7008,Blimbingsari Airport,Ingalls Field,8:59 AM,5:15 PM
NH8525,Hasanuddin International Airport,Paderborn Lippstadt Airport,9:45 PM,6:10 PM
AA9225,Boulia Airport,Santana do Araguaia Airport,2:44 AM,8:24 PM
KE9386,Hissar Airport,Sharurah Airport,10:50 AM,5:40 PM
CX3481,Labuan Airport,Pratt Regional Airport,2:02 AM,5:24 AM
KL7108,Diu Airport,Bisbee Municipal Airport,6:42 PM,1:16 PM
AA7774,Arrachart Airport,Metema Airport,5:22 PM,12:17 PM
AC7380,La Gaviota Airport,Umeå Airport,7:53 AM,11:29 AM
AF8075,Tum Airport,Morristown Municipal Airport,9:11 PM,12:33 PM
AV3164,San Fernando De Apure Airport,President Obiang Nguema International Airport,5:58 AM,11:42 PM
SA3457,Tarama Airport,Summit Airport,7:12 AM,3:40 PM
NZ6628,Henry Post Army Air Field (Fort Sill),Eirunepé Airport,10:18 PM,10:00 PM
QR3181,Rafaela Airport,McKinley National Park Airport,6:24 PM,4:05 PM
NH9930,Churchill Airport,Camiguin Airport,3:03 AM,5:58 PM
AI3768,Murmansk Airport,Clinton Sherman Airport,4:42 PM,2:54 AM
AA8220,Pike County-Hatcher Field,Cascade Locks State Airport,3:13 AM,11:52 AM
CX5881,General Villegas Airport,Tongliao Airport,7:02 PM,8:22 AM
AV8856,Fazenda Tucunaré Airport,Ylivieska Airfield,10:33 AM,2:45 AM
KE7979,Heidelberg Army Helicopter Base,Tôlanaro Airport,7:06 AM,7:09 PM
WN3907,Monkey Mountain Airport,Aitape Airport,10:35 AM,10:54 AM
NZ9726,Lake Nash Airport,Pond Inlet Airport,12:37 AM,12:26 AM
LA7850,Centenário do Sul Airport,Yarmouth Airport,6:29 AM,4:34 AM
QR7445,Tunica Municipal Airport,Kimaam Airport,1:18 PM,4:15 PM
AC5834,St. Helena Airport,Valença Airport,3:26 AM,12:24 AM
TG6220,Bamburi Airport,Wasua Airport,12:16 PM,6:40 PM
AV4108,Bragança Airport,Philadelphia Seaplane Base,8:28 AM,9:52 PM
CX5078,Bodø Airport,Lar Airport,9:22 PM,8:11 AM
AA8700,Mission Field,Kauehi Airport,3:22 PM,12:38 PM
CX5974,Cibao International Airport,Itabuna Airport,11:43 AM,8:54 AM
UA8973,Ilo Airport,Aupaluk Airport,5:13 PM,12:10 AM
AI4902,Tabora Airport,Opapimiskan Lake Airport,10:35 AM,7:47 AM
AM4031,Kondobol Airport,Hamadan Airport,8:58 AM,1:44 AM
UA9725,Falcon State Airport,Lake Baringo Airport,4:14 AM,5:38 AM
WN8861,Noshahr Airport,Lucapa Airport,2:23 AM,12:41 PM
ET6234,Northern Colorado Regional Airport,Manari Airport,4:58 PM,4:49 PM
TG9476,Bruce Campbell Field,Ladouanie Airport,12:40 AM,12:29 AM
CX3155,Comandante Gustavo Kraemer Airport,Banz Airport,3:02 PM,9:25 PM
CX9649,Newport State Airport,Kengtung Airport,12:25 AM,2:38 AM
IB2927,Dong Hoi Airport,NAS Fort Worth JRB/Carswell Field,2:49 PM,3:21 AM
QF3102,Fort St John Airport,Windarra Airport,6:27 PM,3:57 PM
AV3565,Comodoro Pedro Zanni Airport,Solenzara (BA 126) Air Base,3:48 AM,2:44 PM
NZ2284,Great Harbour Cay Airport,Surigao Airport,6:57 AM,2:15 PM
BA8830,Angoram Airport,May Creek Airport,1:44 PM,4:42 AM
AC3806,Timişoara Traian Vuia Airport,Bergerac-Roumanière Airport,12:23 PM,1:16 PM
AA7149,Zaraza Airport,Halls Creek Airport,4:57 AM,4:13 PM
UA6626,Chippewa Valley Regional Airport,Bolovip Airstrip,1:58 PM,3:20 PM
KE4081,Hjaltabakki Airport,Charleville-Mézières Airport,1:20 PM,11:04 PM
WN7481,Lewis University Airport,Madison Municipal Airport,9:11 AM,9:08 AM
SQ8537,Angoche Airport,Ujae Atoll Airport,10:12 PM,10:02 PM
NH4186,Şanlıurfa Airport,Humera Airport,4:27 PM,9:37 AM
BA4592,Tsletsi Airport,Castaway Island Seaplane Base,5:01 PM,7:28 AM
QR6105,Wilbarger County Airport,Kagua Airport,5:24 AM,3:13 AM
SQ2511,Dahl Creek Airport,Coalinga Airport,9:06 AM,8:38 PM
AA7154,Chicago Executive Airport,Bethel Airport,5:38 AM,3:13 AM
WN4714,Stephens Island Seaplane Base,Tamchakett Airport,2:00 PM,10:30 AM
WN9021,São Pedro Airport,Wadi Al Dawasir Airport,8:36 PM,5:24 AM
WN2849,Tarama Airport,Simikot Airport,8:20 PM,12:55 AM
AV4715,Lien Khuong Airport,Rick Husband Amarillo International Airport,7:24 PM,6:46 PM
AC3869,Lakeba Island Airport,Whiteman Airport,4:04 AM,6:42 PM
SQ4474,CFB Bagotville,Snap Lake Airport,12:17 PM,5:30 PM
AI6706,Misratah Airport,Roberts International Airport,8:56 AM,3:58 PM
SA6084,Sibisa Airport,Port Bergé Airport,6:48 PM,4:06 PM
AI6595,Alto Palena Airport,Skwentna Airport,11:39 AM,7:17 PM
ET1905,Gisenyi Airport,Paso Robles Municipal Airport,11:43 AM,8:19 PM
AZ5690,Bryansk Airport,Naval Outlying Field Imperial Beach (Ream Field),7:46 PM,6:12 PM
LA6794,Woodward Field,Munbil Airport,12:53 PM,8:30 PM
AA1923,Johnston Atoll Airport,Malvinas Argentinas Airport,10:08 PM,8:41 AM
IB6654,Dr Juan Plate Airport,Kogalym International Airport,1:47 PM,11:08 PM
LH8572,Suavanao Airport,Mahlon Sweet Field,1:06 PM,7:26 PM
WN6462,Dywer Airbase,Town Airstrip,5:52 PM,12:06 AM
WN7532,Cà Mau Airport,San Juan Airport,3:48 PM,12:10 PM
IB4989,Ngot Nzoungou Airport,Pori Airport,12:43 PM,3:23 AM
QF5189,Keflavik International Airport,Ogoki Post Airport,5:04 PM,11:52 AM
LA4585,Córdoba Airport,Puerto La Victoria Airport,5:06 AM,10:08 AM
LA4783,Bern Belp Airport,José Leonardo Chirinos Airport,4:14 AM,6:23 AM
NZ4284,Cochstedt Airport,Zürich Airport,9:38 AM,7:45 AM
ET5950,De La Independencia Airport,Juana Azurduy De Padilla Airport,12:27 PM,9:28 PM
ET9515,Riesa-Göhlis Airport,Kilwa Airport,11:53 PM,7:29 PM
ET6340,São José Airport,Tunica Municipal Airport,3:17 AM,6:12 PM
LA4328,Tokunoshima Airport,Santa Terezinha Airport,10:20 PM,1:25 AM
AZ6191,Macaé Airport,Sematan Airport,12:17 PM,11:25 PM
DL2968,Tri-Cities Regional TN/VA Airport,Ålesund Airport,1:47 AM,7:11 AM
TG7191,Tetebedi Airport,Mariposa Yosemite Airport,3:29 PM,3:15 AM
